ABREVIATION,INDEX,min,max     
CN_leaf,29,14.3,35
CN_LeaLitter,30,27,63
CN_ofFineRoot,31,10,60
CN_ofFruit,32,10,60
CN_ofSoftStem,33,10,60
FLNR,59,0.1,0.4
MSTOMACOND,61,0.001,0.015
ROOTDEPTH,67,0.5,3
PHENOPHLENGT3,131.62,50,600
PHENOPHLENGT4,131.63,100,600
PHENOPHLENGT5,131.64,10,200
PHENOPHLENGT6,131.65,400,1000
